Company Name, Telephone, Fax, Email, Contact Person
GOLDEN DRAGON CASKET MANUFACTURE SDN BHD, (0 4) 573 4743, (0 4) 573 4395, goldendragon0569@gmail.com, Mr Oi Kin Chan
GOLDEN LATITUDE SDN BHD, + 60 3 5121 1376, + 60 3 5121 2135, golden@glsb.com.my, Ms Grace Tam
GOLDEN STAR WOOD JAYA SDN BHD, + 60 3 2162 0696, + 60 3 2162 0698, gswood05@gmail.com, Mr George
GOLDEN WORLD METAL SDN BHD, (0 3) 9054 8138, (0 3) 9054 8138, executive.gwm@gmail.com, Mr Yeo Hock Cheong
GOWEALTH ENTERPRISE, NaN, (07) 705 0196, sky@woodenyou.com.my, Mr Wong Choon Ming
GQ LUMBER SDN BHD, + 60 13 928 8293| 19 981 0088, + 60 9 944 8133| 944 0472, 3@temp.com, Mr Ong Ah Kow
GRADGOLD SDN BHD, + 60 6 987 3493, + 60 6 987 5943, calvinwong@worldgate.com.my, Ms Cha Hui Luang
GRAND BANKS YACHTS SDN BHD, + 60 7 251 7488, + 60 7 251 7388, gbmy@grandbanks.com, En Zulkiflee Abdul Jalil
GRANDTRONIC SDN BHD, + 60 (06) 448 6307, + 60 (06) 448 6709, titranwood10@yahoo.com, Mr Sio Kah Yaw
GREAT VEGA WOOD SDN BHD, (0 6) 987 4949, (0 6) 987 4155, slhwood1155@hotmail.com, Mr Cha Au Peng
GREEN DRAGON WOOD PRODUCTS (M) SDN BHD, + 60 3 7885 0115, + 60 3 7885 0114, info@greendragon.com.my, Mr Danny Ng
GREEN HOPE WORLDWIDE SDN BHD, (0 3) 4023 2263, (0 3) 4023 2263, rohansteel@gmail.com, Mr Abhishek Shukla
GREENBERG FURNITURE SYSTEM (M)  SDN BHD, (0 3) 8723 5395, (0 3) 8723 5296, juliana_juliez@yahoo.com, Mr Manimaran Thanaperumal
GRV LOGISTICS (M) SDN BHD, + 60 3 3165 1712, + 60 3 3165 0989, guna@grvlogistics.com.my, Mr Gunasilen: [H/P No: +60 (016) 3532 414]
GUNUNG SERAYA SDN BHD, + 60 (03) 3134 2011, + 60 (03) 3134 2189, info@gunungseraya.com, Mr Chin Lee Yen
H & H TIMBER INDUSTRY SDN BHD, (0 7) 467 3800 / 467 1166, (0 7) 467 1800, hnhtimber@gmail.com, Mr Huang Chu Chiam
H. G. TIMBER MERCHANT SDN BHD, (09) 329 2328, (09) 329 2327, hgtimber99@yahoo.com, Mr Low Say Kiat
HANG TUAH SAWMILLS BHD, + 60 6 458 1760| 458 2921, + 60 6 458 1839, hangtuah2386@gmail.com, Mr Ng Peng Lim
HARVEST LUMBER SDN BHD, + 60 3 3165 2518, + 60 3 3168 1336, hvest99@gmail.com, Mr Low Son Heng
HCH TIMBER EXPORT (M) SDN BHD, NaN, (0 3) 3325 1579, nelson@appletoner.com.my, Mr Ng Ee Lim
HEENA RESOURCES SDN BHD, NaN, NaN, heenaresources@gmail.com, Mr Rafique Shaikh
HENG HUAT HUAT KILANG PAPAN SDN BHD, (09) 277 7668, (09) 277 7663, henghuathuat@hotmail.com, Mr Ong Meng Huat
HENG SENG TIMBER TRADING SDN BHD, (0 4) 484 2797, NaN, choongaw@gmail.com, Mr Choong Ong Hock
HENGDAMAS SAWMILL SDN BHD, (0 9) 260 9312 / (0 9) 260 9313, (0 9) 260 9311, sawmill716717@gmail.com, Dato Lim Siew Mei
HER SENG WOOD PRODUCTS SDN BHD, + 60 7 652 1810, + 60 7 652 1369, hersengwood@hotmail.com, Mr Chin Nam Fatt
HESEH WOOD SDN BHD, NaN, + 60 3 3392 2827, hesehwood@hotmail.com, Mr Foong Swee Min [H/P No: +60  (012) 280 7133]
HEVEABOARD BHD, + 60 (07) 948 4745| 948 4743, + 60 (07) 948 3390| 948 5192, info@heveaboard.com.my, Ms Liyen Yoong
HEVEAMART SDN BHD, + 60 (07) 948 4745| 948 4743, + 60 (07) 948 3390| 948 5192, info@heveaboard.com.my, Ms Liyen Yoong
HEXA VIANA SDN BHD, + 60 3 6277 6162, + 60 3 6277 7714, siewchuong@gmail.com, Mr Lau Siew Chuong
HFORCE INTERNATIONAL SDN BHD, +60 7 232 6231, +60 7 232 6231, hforce2u@yahoo.com, Mr Ho Teck Fook
HI-MAC RESOURCES SDN BHD, (086) 313 981, (086) 315 981, NaN, NaN
HILLS WOOD PROCESSING PLANT SDN BHD, + 60 3 3392 7190| 3392 6941| 3392 7701| 19 333 465, + 60 3 3392 6771, hillswoodpp@hotmail.com, Mr Simon Ong
HILLSIDE TIMBER SDN BHD, (03) 3324 7062, (03) 3324 7063, hillside.timber.sdn.bhd@gmail.com, Mr Lim Meng Choo
HNK TIMBER (SABAH) SDN BHD, (0 88) 249 933, (0 88) 249 889, hnksabah@outlook.com, Ms Ang Lay Wah
HO & L WOOD PRODUCTS TRADING SDN BHD, (0 9) 960 2880, (0 9) 960 2888, hoandl07@gmail.com, Mr Wong Ting Pong
HO BROTHERS WOOD PRODUCTS SDN BHD, + 60 9 960 2787, + 60 9 960 2788, tpwong12007@gmail.com, Mr Ho Choong Leong
HOCK CHUAH CHAN PRAYING ARTICLE CENTRE SDN BHD, + 60 4 397 7770, + 60 4 397 8111, hcc@hccgroup.com.my, Mr Beh W L
HOCK CHUAN ENTERPRISE SDN BHD, + 60 4 421 2180, + 60 4 422 2585, limtama@yahoo.co.jp, Dato' Lim Aik Khoon
HOCK ENERGY ENTERPRISE SDN BHD, + 60 4 422 6308, + 60 4 422 6657, N. A., Dato' Lim Aik Khoon
HOCK HWA HENG ENTERPRISE SDN BHD, + 60 4 421 3437, + 60 4 422 6657, hwke@pd.jaring.my, Dato' Lim Aik Khoon
HOCKEE EXPORT SDN BHD, + 60 3 3166 7855, + 60 3 3168 8355, hockeeazlin@gmail.com, Ms Azlin
HOE HUP TIMBER INDUSTRIES SDN BHD, NaN, + 60 4 421 8998, ngboonlai@hotmail.com, Mr Ng Boon Lai
HOK LAI TIMBER (M) SDN BHD, + 60 5 434 8888, + 60 5 434 4087, hoklai@hoklai.com.my, Mr Per Chin Poh
HOLMAWOOD SDN BHD, + 60 3 7803 0694| 7803 2562, + 60 3 7803 0705, holmawood@holmawood.com, Mr Steven Foong
HOMEGROWN CONCEPT SDN BHD, (03) 2201 1601, NaN, info@homegrownconcept.com, Mr Teh Eng Chong
HONG BAO INDUSTRIES SDN BHD, NaN, (0 3) 3319 0796, info.hongbao@gmail.com, Mr Vijayaraj Sundaraj
HONG MOH SAWMILL SDN BHD, + 60 9 277 3822, + 60 9 277 3988, hongmohsb@gmail.com, Mr Yap Ming Chuan
HONGJIN TIMBER TRADING SDN BHD, NaN, (0 9) 513 6966, hongjin6966@gmail.com, Mr Loo Lam Seng
HOONG YAP MANUFACTURER SDN BHD, + 60 3 6187 5990, + 60 3 6187 4990, tommy.chuah@hoongyap.com.my, Mr Tommy Chuah
HORIZON WOOD SDN BHD, (09) 912 5998, (09) 912 2791, horizonwood5998@yahoo.com, Mr Yap Yong Poh
HOUNG SHU SAWMILL SDN BHD, NaN, NaN, houngshu123@gmail.com, Ms Yu Siew Mee
HOW ENG ENTERPRISE SDN BHD, + 60 6 283 3882, + 60 6 281 9882, howengenterprise@yahoo.com, Mr Herrison
HUNG FATT TIMBER SDN BHD, NaN, NaN, hungfattacc@gmail.com, Mr Lee Kok Thin
HUP LIK TIMBER TRADING, NaN, (0 3) 6186 6289, kianterry0601@gmail.com, Mr Yap Puew Kian
I.K. PANEL (M) SDN BHD, + 60 4 593 6361, + 60 4 593 6411, info@ikpanel.com, Ms Felicia Khor [H/P No: +60 (012) 944 9599]
IDEALWOOD RESOURCES SDN BHD, NaN, NaN, idealwoodresources@gmail.com, Mr Alan Lim
IMASKAYU DOOR EXPORT (M) SDN BHD, + 60 4 507 4520, + 60 4 507 2725, chong@maskayu.com, Mr Chong Wee Hiah
IMBANG TROPIKAL SDN BHD, (0 9) 278 4668 / 278 3168 / 277 8868, (0 9) 277 9168, imbangtropikal@gmail.com, Mr Loo Ping Chuan
IMPACT TIMBER (M) SDN BHD, NaN, NaN, impact.timber.my@gmail.com, Mr Chew Boon Su
INDAH WOOD PRODUCTS SDN BHD, + 60 3 7880 2191, + 60 3 7880 2671| 7880 2672, info@costraco.com, Mr Leong Voon Chong
INFINITE POINT SDN BHD, + 60 5 281 5998, + 60 5 281 6998, ipfhew@gmail.com, Mr Tai Yoew Boon
INOVAR INDUSTRIES SDN BHD, + 60 3 3271 7499, + 60 3 3271 7491, enquiry@inovarfloor.com, Ms Yow Shan Chi
INSHENG WOOD INDUSTRIES SDN BHD, + 60 4 484 3634| 484 3636, + 60 4 484 3635, N. A., Mr Chu Swooi Tai
INSPIRATION FURNITURE SDN BHD, (0 88) 210 789, (0 88) 213 479, jcqln.wong2@gmail.com, Ms Wong Yien Ling
INSTYLE SOFA SDN BHD, + 60 6 972 8820, + 60 6 972 7514, ken.wong@instylesofa.com.my, Mr Ken Wong
INTER TRANS WOOD TRADING SDN BHD, + 60 (0 3) 3325 9788, + 60 (0 3) 3325 9788, anil@ittigroup.co, Mr Anil Kumar
INTERCOMPO SDN BHD, + 60 (03) 3149 4761, + 60 (03) 3149 4766, inquiry@interpanel.com.my, Mr Tan Aik Lam
INTERPANEL SDN BHD, + 60 3 3149 4761| 3149 4762| 3149 4763| 3149 4764, + 60 3 3149 4766, davi@interpanel.com.my, Mr Tan Aik Lam
IPOH LUMBER PRODUCTS SDN BHD, + 60 5 282 3112| 282 3127| 282 3128, + 60 5 282 2906, N. A., Mdm Loh Siew Lin
JAB GLOBAL (M) SDN BHD, (0 3) 3341 0611, (0 3) 3341 0611, jabglobalmalaysia@gmail.com, Mr Maria John Maria Antony
JAMASIN CORPORATION SDN BHD, + 60 9 516 3887 (HUNTING LINE), + 60 9 517 1887, jamasincorp@hotmail.com, Mr Goh See Oon
JASA TMD SDN BHD, + 60 12 987 7166, + 60 9 560 5612, tmd_ent@yahoo.com, Mr Chu Kok Eng
JATAT FURNITURE INDUSTRIES SDN BHD, + 60 7 599 5028, + 60 7 599 5067, ss.wong@kodaltd.com, Ms Lai Lai Mun
JAWALA CORPORATION SDN BHD, + 60 3 2141 9700, + 60 3 2142 7396, jawalacorp@jawala.com.my, Mr Anwar Khan
JAWALA PLANTATION INDUSTRIES SDN BHD, (03) 2141 9700, (03) 2142 7396, jawalacorp@jawala.com.my, Mr Anwar Khan
JAYALANKA ENTERPRISE, + 60 3 4042 1896| 12 278 7991, + 60 3 4041 9878, ejayalanka@yahoo.com, Mr Mohd Rafezi
JAYATIM EXPORT SDN BHD, + 60 3 3372 5635, + 60 3 3372 0990, jayatim333@hotmail.com, Mr Tong Foo Sing [H/P No: +60 (012) 2735 031]
JAYOUN BIOMASS SDN BHD, NaN, (03) 3191 7618, jayounbio@gmail.com, Mr Choi Hyung Hwan
JE ASIA LINK SDN BHD, (0 9) 277 0575 / 270 1016, (0 9) 270 1018, jeasialink@gmail.com, Mr Kenneth Chang
JELAPANG MAJU SDN BHD, (03) 4278 4233, NaN, shaiful@jelapangmaju.com, Encik Syed Muhammad Imran
JIA YUAN TRADING SDN BHD, + 60 (017) 755 5199, + 60 (06) 987 5943, calvinwong@worldgate.com.my, Mr Calvin Wong
JIAN GIAN INDUSTRIES (M) SDN BHD, (0 6) 986 7322, (0 6) 986 8332, account@timberartdesign.com, Mr Toh Chin Loy
JIMWOOD SDN BHD, + 60 3 7980 0195| 7980 0197| 7980 1309 (HUNTING LI, + 60 3 7980 1275, jimwoodsb@gmail.com, Mr Jack Nguik Suong Nik
JLJ TIMBER SDN BHD, (0 84) 313 678, (0 84) 328 668, fscheme@gmail.com, Mr Wong Ing Huong
JM ECO GLOBAL SDN BHD, (0 3) 2615 7905, (0 3) 2615 2699, jmecoglobal@gmail.com, Mr Kanyan Ak Puso
JOBESON INDUSTRIES SDN BHD, NaN, NaN, jobesonindustries@gmail.com, Ms Teo Yee Ching
JOINS GROW SDN BHD, (03) 4143 4126, (03) 4143 3126, lee9777@gmail.com, Mr Lee Chee Kai
JOLEX WOOD SDN BHD, + 60 7 862 4414, + 60 7 862 4421, jolexwood@gmail.com, Mr Brian Lim Ching Yean
JQ TIMBER SDN BHD, (0 88) 245 350 / 248 217, (0 88) 264 836, NaN, Mr Kiu Chiong Ong
JTL EXPORT SDN BHD, + 60 9 568 8855 (3 LINES), + 60 9 568 8858, N. A., Mr Teo Yin Loon
JV TEGUH SDN BHD, (088) 490 197 / 495 866, (088) 495 439, mikelcs66@hotmail.com, Mr Lee Chin Sin
K & L SUMBER SEJATI ENTERPRISE, NaN, (06) 467 6097, NaN, Mr Kyu Hock Seong
K. T. S. SDN BHD, + 60 3 8942 3113, + 60 3 8948 2581, ktskltd@streamyx.com, Mr Phong Yoke Hsing
K.B. TIMBER INDUSTRIES SDN BHD, + 60 (03) 6250 1116, NaN, moseschan314@gmail.com, Ms Loke Kwai Kiu
KA SOLUTION SDN BHD, (012) 291 2000, (03) 3324 0252, NaN, Mr Olzan Wan
KADJADI SDN BHD, + 60 89 674 189| 675 189, + 60 89 674 899, kadjadi@streamyx.com, Mr Lim Swee Kian
KALIMAN TIMBER CORPORATION SDN BHD, (0 82) 266 681 / 266 682, (0 82) 266 683, kalimantimbercorp@yahoo.com, Mr KK Toh
KARIMOKU (M) SDN BHD, + 60 6 351 2301, + 60 6 351 4668, tnggot@karimuko.com.my, Mr Lim See Huat
KAYUPRIMA SDN BHD, + 60 3 3290 6211| 3290 6212| 3290 6180, + 60 3 3290 6213, kayuprima@gmail.com, Mr Chris Tan [H/P No: +60 (012) 2072 883]
KB JAYA AGARWOOD SDN BHD, (03) 2110 5512, NaN, kbjaya.agarwood@hotmail.com, Mr Koh Kim Leong
KD CORPORATE (M) SDN BHD, + 60 6 953 1133, + 60 6 953 2255, niza@kd.com.my, Mr Lim Yen Teck
KECHAU MOULDING INDUSTRIES SDN BHD, + 60 (09) 329 1086, + 60 (09) 329 1199| 329 1582, N. A., Mr Leo Choon Chong
KEKUDA TRADING ASSOCIATES SDN BHD, (07) 351 0150, (07) 351 0150, acc.kekuda@outlook.com, Ms Parminder Kaur
KEN PANEL SYSTEM SDN BHD, + 60 3 9011 9092, + 60 3 9019 7870, kenpanel@gmail.com, NaN
KFG PLYWOOD TRADING SDN BHD, + 60 (06) 454 7876, + 60 (06) 454 7678, kfgply@yahoo.com.my, Mr Lim Beng Soong
KGR GREENWOOD (M) SDN BHD, + 60 3 6065 27, + 60 3 6065 14, kgrgreenwood@yahoo.com, Mr Roy Chong [H/P No: +60 (019) 930 6553]
KH SAWMILL SDN BHD, + 60 9 278 2200, + 60 9 278 3300, sawmill@khgroup.com.my, Mr Henry Hoo: [H/P No: +60  (016)986 1666]
KHENG MOH SAWMILL SDN BHD, + 60 4 573 4399, + 60 4 573 4399, N. A., Mr Ng Ah Kau
KHIAN JOE TIMBER ENTERPRISE, + 60 (03) 3134 3717 / 3134 3718 / 3134 1166, + 60 (03) 3134 3719, chon2199@yahoo.com, Mr Ong Tooi Hean
KIAN SENG TIMBER SDN BHD, + 60 (09) 668 0076, + 60 (09) 668 0663, NaN, Mr Chai Kuan Yew
KIAN SOON HOLDINGS SDN BHD, (0 9) 278 1011, (0 9) 278 1101, kiansoonholdings69@gmail.com, Mr Low Thiam Chuan
KIHUAT TIMBER (M) SDN BHD, + 60 (09) 232 0268, + 60 (018) 342 0268, kihuatsb@gmail.com, Joanne Wong
KILANG KAYU GETAH & PERABUT SDN BHD, + 60 6 448 6100| 448 6199, + 60 6 448 6330, N. A., Mr Hun Chook Tin
KILANG PAPAN CHOP YEAP YUEN KEE SDN BHD, + 60 5 357 1184, + 60 5 357 2129, kpcyyk@gmail.com, Mr Yip Foo Weng
KILANG PAPAN DATUK WAN AHMAD (RAUB) SDN BHD, + 60 9 369 7998| 369 7993| 369 7616, + 60 9 369 7988, sytwood@yahoo.com, Mr Peter Shim: [H/P No: +60 (019) 9180 015]
KILANG PAPAN GALAS SETIA (M) SDN BHD, + 60 9 912 1342| 912 3799| 912 2199| 912 3333, + 60 9 912 1037, galassetia@hotmail.com, Datok Lock  [H/P No: +60 (019) 656 1333|(019) 627 1333]
KILANG PAPAN HOCK SENG TECK SDN BHD, + 60 7 797 0107| 797 0108, + 60 7 797 0109, N. A., Mr Tee JG
KILANG PAPAN LAPIS SOON LEE SDN BHD, (04) 759 7988, (04) 759 0175, kpsoonlee@gmail.com, Ms Ooi Chin Lee
KILANG PAPAN LEE WOO SDN BHD, NaN, (0 9) 546 9808, askwilsonwong@gmail.com, Mr Wong Kong Yong
KILANG PAPAN MARAN SIN HIN SDN BHD, + 60 9 277 1233 / 277 6233, + 60 9 277 5166, kilangpapanmaransinhin@yahoo.com.my, Datuk Yap Yee Chong
KILANG PAPAN SALAMAH SDN BHD, + 60 5 757 7201| 757 8202| 757 8203| 16 558 0695, + 60 5 757 8204, david_kps@yahoo.com, Ms Tan
KILANG PAPAN SAM LIM SDN BHD, + 60 6 498 5490, + 60 6 492 0593, kpsamlim@gmail.com, Mr Curt Lai [H/P No: +60 (012) 616 1765]
KILANG PAPAN SELAMAT SENTOSA (K/P) SDN BHD, + 60 3 7729 3036, + 60 3 7727 2459, honggiapsentosa@gmail.com, Mr Soh Kam Eng
KILANG PAPAN SEONG ENG SDN BHD, + 60 4 573 7142, + 60 4 573 7141 / 572 7718, kpseong_eng@hotmail.com, Mr Tan Chong Hee
KILANG PAPAN SOON LEE SDN BHD, (04) 759 6980, (04) 759 0175, ooichin_lee@yahoo.com, Ms Ooi Chin Lee
KILANG PAPAN SRI MADIK SDN BHD, + 60 7 788 1205, + 60 7 788 1868, N. A., Mr Wong Hock My
KILANG PAPAN THONG MEE CHING KEE SDN BHD, (0 5) 254 5088, (0 5) 253 2326, tmckmgt@gmail.com, Ms Chang
KILANG PAPAN WING WOH SDN BHD, + 60 4 477 8271, + 60 4 477 0906, wingwohsb@gmail.com, Mr Lam Lee Kom (PJK)
KINGDOM WOOD SDN BHD, (0 9) 239 9358, (0 9) 239 9902, kingdomwoodsdnbhd@yahoo.com, Mr Thong Chee How
KINWOOD DESIGN SDN BHD, + 60 (03) 8962 1478, + 60 (03) 8962 6696, kinwood6103@gmail.com, Mr Lee Kum Hing
KINWOOD LIVING CONCEPT SDN BHD, (0 3) 8726 0910, (0 3) 8726 0980, kinwoodlivin@gmail.com, Mr Kiew Boon How
KIT LING YAKIN ENTERPRISE SDN BHD, + 60 9 355 3340, + 60 9 355 6986, N.A, Mr Choo Kit Ling [H/P No: +60 (019) 988 8935]
KJH MANUFACTURING SDN BHD, (0 7) 428 0055, (0 7) 428 9989, kjhwoodacc@gmail.com, Mr Tay Poh Choo
KOMILL CORPORATION SDN BHD, + 60 3 2300 0311, + 60 3 2300 1910, export@komill.com.my, En Hussain B Abd Manap
KONG JOO TIMUR SDN BHD, + 60 (012) 527 6789, + 60 (09) 977 8888, kjtimurinfo@gmail.com, Mr Loh Wooi Keat
KONG MIN TIMBER ENTERPRISE, (0 9) 946 2737, (0 9) 946 2737, kongmintimber@hotmail.com, Mr Chin Kong Min
KPP CAPITAL SDN BHD, (0 7) 244 7300, NaN, jlau@kppcapital.my, Mr Lau Woon Pin
KPS WOOD SDN BHD, (0 3) 3341 3182, (0 3) 3341 3182, kpswood@hotmail.com, Ms Tee Soo Leing
KS FUTURE SDN BHD, (0 9) 279 8836, (0 9) 277 0103, ksfuture_gst@yahoo.com, Mr Lim Yu Hing
KS JAYA TIMBER SDN BHD, (0 9) 966 9603, (0 9) 960 9603, ksjaya9603@yahoo.com, Mr Chin Lee Sian
KSK SAWMILL SDN BHD, + 60 (09) 945 0259, + 60 (09) 944 0118, ksksawmill@yahoo.com, Liew Ee Heong
KSK TIMBER TRADING SDN BHD, (03) 6038 6297, (03) 6038 2297, ksktimber2006@gmail.com, Mr Lee Keh Seng
KTS HENG SDN BHD, + 60 (03) 33221269, NaN, ktshengenterprise@yahoo., NaN
KWONG FOOK SENG ENTERPRISE SDN BHD, (03) 6186 9699, (03) 6186 7325, kwong_fook_lian8@hotmail.com, Mr Lee Soo Ming
L & H BAKAU SDN BHD, (0 7) 432 7905, (0 7) 432 7148, lh_bakau@yahoo.com.my, Mr Kua Kee Leong
LAND WOOD STAR RESOURCES, NaN, NaN, landwoodstar@gmail.com, Ms Lim Hui Sean
LANJUT EDARAN SDN BHD, + 60 (0 9) 680 1828 / 680 1830, + 60 (0 9) 680 1827, lanjutedaran@gmail.com, Mr Yeo Kim Team
LAW TIMBER MARKETING SDN BHD, + 60 7 663 2454| 12 771 1161, + 60 7 662 3489, law_weiping@yahoo.com, Mr Lau Wei Siong
LB TIMBER INDUSTRIES SDN BHD, + 60 7 415 1132, + 60 7 415 1133, calvinatak@hotmail.com, Mr Lim Kuai Seng
LE’WINDE (KUANTAN) SDN BHD, + 60 9 517 7677| 517 7510, + 60 9 517 7348| 513 2848, kmnktn@tm.net.my, Mr Gerry Lim
LEAF TIMBER TRADE SDN BHD, (0 3) 3163 0046, (0 3) 3163 0061, leaf.timber.trade@gmail.com, Mr Gunasilen A/L Krisnanmurty
LEE WAH SAWMILL SDN BHD, + 60 7 948 1001| 948 1248| 948 4387, + 60 7 948 1002, lwwood@pd.jaring.my, Mr Justin Chong
LENDECOR KONZEPT (JB) SDN BHD, NaN, NaN, lendecorkonzept.jb@yahoo.com, Mr Lee Kent Tat
LENDECOR PANEL SDN BHD, + 60 (06) 767 3668| 761 8668| 763 2668, + 60 (06) 761 7668, ypchew@lendecor.com.my, Ms Chew Yen Ping
LEONG KUO WOOD INDUSTRIES (M) SDN BHD, + 60 6 981 5125, + 60 6 981 5129, leongkuo@streamyx.com, Mr Chen YC
LESING CUSHION SDN BHD, (0 6) 985 7646, (0 6) 985 0948, ivy@lesing.com, Ms Yau Lay Kern
LEVO INTERIOR DESIGN SDN BHD, (03) 8081 0136, (03) 8081 4361, ivy@levo.com.my, Ms Lim Ivy
LH MUN TIMBER SDN BHD, (0 3) 3324 7062, (0 3) 3324 7003, tshong1231@gmail.com, Mr Teoh Siow Meng
LIAN CHEONG SAWMILL CO. SDN BHD, + 60 7 772 5822| 772 2242| 772 1076, + 60 7 772 2878, N. A., Mr Khoo Chee Kian
LIAN HIN JAYA SDN BHD, (09) 279 8836, (09) 277 0103, lianhinjayasb@gmail.com, Mr Lim Yu Hing
LIAN TATT TRADING SDN BHD, + 60 3 8766 7316, + 60 3 8766 8251, liantatt@hotmail.com, Mr Lee Hock Leng
LIANG HUAT SAWMILL SDN BHD, (0 6) 525 1325 / 525 1326, (0 6) 525 1263, lhsawmill@gmail.com, Mr Ngwe Lai
LIONEX (M) SDN BHD, + 60 3 4043 8869, + 60 3 4043 8857, info@lionex.biz, Jeroen Knol: [H/P No: +60 (012) 606 6951]
LIONVEST TIMBER INDUSTRIES SDN BHD, + 60 9 466 4111| 466 4888, + 60 9 466 4220, N. A., Mr Tan Kim Kee
LIT TAT LUMBER SDN BHD, + 60 9 2783 788, + 60 9 2777 810, littatgroup@yahoo.com, Dato'Wong tat Chee
LLH TIMBER, (03) 3163 0423, (03) 3163 0423, llhtimber@yahoo.com, Mr Harry
LOFT FURNITURE SDN BHD, + 60 3 5612 6616, NaN, gracekoh@loftfurniture.com.my, Ms Grace
LOTUS GOLDTREE SDN BHD, NaN, (09) 513 1923, Lotusgold48@gmail.com, Ms Chan Poh Yoke
LOTUS REGION SDN BHD, (089) 756 399, (089) 750 399, Lotus_region@yahoo.com.my, Mr Aris Bin Saleh
LS JAYA TIMBER SDN BHD, (0 9) 975 2488, (0 9) 975 2852, lsjayatimber@gmail.com, Mr Chin Lee Sian
LUCKY THREE TRADING SDN BHD, + 60 (09) 955 2798, + 60 (09) 955 7398, lucky_ahteck@yahoo.com, Mr Liau Soon Teck
LVC ECOPACK SDN BHD, (07) 358 8460, (07) 358 8461, khoo@lvc-ecopack.com, Mr Lee Siong Boon
LY WOODS SDN BHD, (0 3) 3259 2133, (0 3) 3259 2155, ly_woods@yahoo.co.uk, Mr Yew Hock Leong
MA HUP SENG ENGINEERING SDN BHD, (0 3) 6038 1733 / 6038 1732 / 6038 1730, + 60 3 6038 1662, hq@mahupseng.com.my, Mr Ma Peir Feng
MACRO AIM SDN BHD, + 60 16 810 7776| 19 810 5669, + 60 3 7971 6277, macroaim02@yahoo.com, Mr Lam Mew Ching
MACROSON RESOURCES SDN BHD, (0 3) 3326 7810 / 3326 7820, (0 3) 3326 7813, admin@macroson-mail.com, Mr Lee Guan Kiat
MAJOR OVERSEAS TIMBER TRADING SDN BHD, + 60 19 954 5225, + 60 9 788 9330, majoroversea.my@outlook.com, Mr Tan Guan Huat
MAJUKAYU SDN BHD, + 60 5 791 4771, + 60 5 791 4339, majukayugerik@gmail.com, Ms Nor Wahida Bt Aninudin
MALAYSIAN FOREST INDUSTRIES SDN BHD, + 60 7 925 1611, + 60 7 925 1612, N.A, Ms Seong Pick Yeng (013-7463808)
MALPOM INDUSTRIES BERHAD, (0 4) 582 4001, (0 4) 582 5900, malpom3609@gmail.com, Mr Teoh Weng Chye
MAMMOET ROMSTAR SDN BHD, (0 7) 253 8000, (0 7) 253 8090, NaN, Mr Shawn Lim
MARI AGENCIES SDN BHD, (0 9) 795 0923, (0 9) 795 0979, spphang2@yahoo.com, Mr Phang Siew Phang
MARIWOOD SDN BHD, NaN, NaN, mariwood_sb@outlook.com, Mr Lim Yong Heng
MARKAS MAJU SDN BHD, (0 5) 255 5868, (0 5) 255 5848, king.tmck@gmail.com, Y Bhg Dato' Chung King Tong
MASCOT IMPEX SDN BHD, +60 (03) 7865 1340, + 60 (03) 7865 1340, mascotimpex333@gmail.com, En Muhamad Bazil Bin Badrul Jamil
MATAK (M) SDN BHD, + 60 (07) 251 4985, + 60 (07) 251 4984, matakjb@streamyx.com, Ms Ho Wen Yen
MATOWIN SDN BHD, (0 89) 615 254, (0 89) 614 863, matowinsb@gmail.com, Mr Kiing Teck Ngie
MATURE AGARWOOD CAPITAL SDN BHD, (0 3) 7831 2319, NaN, ytk@ruralasset.com, Mr Yeo Tien kiong
MAX WAY ENTERPRISE SDN BHD, + 60 3 8066 4928, + 60 3 8066 9783, maxway2010@hotmail.com, Mr Foo Chin Kiew [H/P No: +60 (019) 227 4877]
MAXI DRAGON SDN BHD, + 60 3 3324 2121, + 60 3 3323 0007, rstimber@rsgroup.com.my, Mr R. Nagaradran
MAXWELL WOOD SDN BHD, + 60 3 9222 0048, + 60 3 9222 3880, ltt@maxwellwoodsb.com, Ms Tan Lih Tuan
MAY EXPORTS (MALAYSIA) SDN BHD, (03) 2078 1173, (03) 2022 1786, admin2@ekprima.my, Ms Hasnim Bt Mos
MAYTECK KILANG KAYU & PERABUT SDN BHD, + 60 6 972 7651| 972 7888, + 60 6 972 8012, mtkkpsb@gmail.com, Mr Tok Soon Hing
MEDAN AGRESIF SDN BHD, + 60 9 912 2609, + 60 9 912 2608, NaN, Mr Tee Lam Kock
MEDIAREX SDN BHD, (03) 3290 3685, (03) 3291 2043, sharon@joenjoen.com, Mr Yeow Hur Chai
MEGA GLOBAL INDUSTRIES (M) SDN BHD, (0 9) 278 3617, (0 9) 278 3704, megaglobalindustries@gmail.com, Mr Gajandran A/L Vathumalai
MEGA GLOBAL MARKETING, + 60 (019) 983 6113, + 60 (09) 277 2671, megaglobalmarket@gmail.com, Mr Gajandran
MEGA GOLD CONTRACTS SDN BHD, NaN, (03) 3885 4433, megagoldcontracts@gmail.com, Mr Kong Kek Eng
MEGA SURPLUS SDN BHD, NaN, NaN, mega_surplus@yahoo.com, Mr Tan Kong Wee
MENTAKAB SAWMILL SDN BHD, + 60 9 277 1640| 277 1967, + 60 9 277 5379| 277 0809, mentakabsawmill@gmail.com, Mr Lim Ah Hung
